pathway,fgsea.FDR,fgsea.ES,fgsea.NES,fgsea.size,fgsea.FC,gage.FDR,gage.geomean,gage.statmean,gage.size,gage.FC,group
BIOCARTA_FEEDER_PATHWAY,0.8886451386451385,0.4429593574265612,0.8998507749723321,9,up,NA,NA,NA,NA,NA,AM
BIOCARTA_PROTEASOME_PATHWAY,0.27302130898021304,0.6307593183576927,1.4559002047855432,19,up,0.5160863275281905,0.14245650423242234,1.0977411476890608,19,up,AM
BIOCARTA_KREB_PATHWAY,1,-0.3154557805525005,-0.6541043074621731,8,down,NA,NA,NA,NA,NA,AM
ST_INTERFERON_GAMMA_PATHWAY,0.06728007970462403,0.8396036380361015,1.6768418555896125,8,up,NA,NA,NA,NA,NA,AM
ST_WNT_CA2_CYCLIC_GMP_PATHWAY,0.9530655391120508,0.35059816438054375,0.8171999910224156,20,up,0.7490108579656265,0.4916231946271937,0.021139690134706755,20,up,AM
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS,0.3157925465503768,0.5140747751654827,1.4031270658292558,42,up,0.4503151800193693,0.0984090571112945,1.301777469525346,42,up,AM
ST_TUMOR_NECROSIS_FACTOR_PATHWAY,0.02493657248114552,0.7271569773355437,1.8291850717350235,29,up,0.1879558393338094,0.01435033160672817,2.2633890776359604,29,up,AM
ST_ERK1_ERK2_MAPK_PATHWAY,0.47728965994359,0.5157152407072391,1.3085412128557092,30,up,0.4570875722970951,0.10462956098362598,1.2702726045970423,30,up,AM
ST_GA12_PATHWAY,0.5333801391785574,0.5283977439272787,1.267194032673463,23,up,0.505715354599331,0.13437320014488519,1.1201323721296224,23,up,AM
ST_G_ALPHA_S_PATHWAY,0.4618072316851712,0.6085081917069913,1.358426346938617,15,up,0.5135541631734364,0.1412803595521349,1.0956805796021254,15,up,AM
ST_G_ALPHA_I_PATHWAY,0.7210220359014577,0.42144829579291354,1.0891162918895814,33,up,0.5915921841528117,0.19967563845732242,0.8484556049659288,33,up,AM
ST_IL_13_PATHWAY,0.5237856483895552,0.7111409254141854,1.317355693433475,6,up,NA,NA,NA,NA,NA,AM
ST_P38_MAPK_PATHWAY,0.4556694729237865,0.4939114668965343,1.3081188245165838,37,up,0.43134347461826233,0.08537812940155014,1.3845493164717577,37,up,AM
ST_JAK_STAT_PATHWAY,0.4403544552398757,0.7007982313733776,1.3996220995882878,8,up,NA,NA,NA,NA,NA,AM
ST_GRANULE_CELL_SURVIVAL_PATHWAY,0.6258566978193145,0.4753858851009411,1.1683237203214825,27,up,0.6555526856430455,0.2828506614298655,0.5786819225385909,27,up,AM
ST_ADRENERGIC,0.12238910353179985,0.629721579926455,1.6155556152372514,32,up,0.3947142755806633,0.0696059225318176,1.5038780002147791,32,up,AM
ST_INTEGRIN_SIGNALING_PATHWAY,1,0.21082788714770767,0.6299567376260793,79,up,0.7691714384060746,0.5463257304524081,-0.1166481091949586,79,up,AM
ST_GAQ_PATHWAY,0.15266390535901725,0.6434497987063564,1.5735868468099625,26,up,0.3937244812652644,0.06803587310912328,1.5150821383070339,26,up,AM
ST_GA13_PATHWAY,0.02493657248114552,0.6789934276510616,1.7608369069959282,34,up,0.20260332031275952,0.017641402217538325,2.149698664102309,34,up,AM
ST_STAT3_PATHWAY,0.10261046330488435,0.7950986964844169,1.6459854341465525,10,up,0.4570072432028103,0.10324142733841286,1.3511082797091247,10,up,AM
ST_T_CELL_SIGNAL_TRANSDUCTION,0.5521370461163563,0.44724735376240055,1.2288024281222092,43,up,0.5499591380143837,0.16908528255828226,0.9632830955211428,43,up,AM
ST_TYPE_I_INTERFERON_PATHWAY,0.02493657248114552,0.9154164763996621,1.828253944341903,8,up,NA,NA,NA,NA,NA,AM
ST_PAC1_RECEPTOR_PATHWAY,0.9657440230283324,0.42654925816528605,0.7901627844672149,6,up,NA,NA,NA,NA,NA,AM
ST_B_CELL_ANTIGEN_RECEPTOR,0.29912970972953257,0.5237739754326265,1.4045464980295754,39,up,0.46429272332813243,0.10898792383330942,1.2424454999082155,39,up,AM
ST_INTERLEUKIN_4_PATHWAY,0.6155159555406121,0.4910745243914162,1.177686154149069,23,up,0.524337370192788,0.1488923010903599,1.0543033593425402,23,up,AM
ST_WNT_BETA_CATENIN_PATHWAY,0.5904369714194829,0.49297217998556686,1.2055867292648486,26,up,0.5475318747222471,0.16489851343744513,0.9842907572409192,26,up,AM
ST_JNK_MAPK_PATHWAY,0.663453115848507,0.4284402043046124,1.144234734309755,38,up,0.5543879901449301,0.17193990179090962,0.9528873306647622,38,up,AM
ST_FAS_SIGNALING_PATHWAY,0.118368265156912,0.5292754644560091,1.5392139727948861,65,up,0.35561440290927215,0.051873734715221456,1.6388349249644474,65,up,AM
ST_MYOCYTE_AD_PATHWAY,0.18493961397713438,0.6380444067812173,1.5301467013173176,23,up,0.4863512952830731,0.12472311881357194,1.1709355933282142,23,up,AM
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY,0.7035052701614315,0.42076873484754307,1.1063911989281559,36,up,0.6574546221521849,0.28931706113215105,0.5590891582092097,36,up,AM
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND,0.7366404246436452,-0.4748908888220713,-1.071768392662436,11,down,0.8740981927398529,0.7945939419388304,-0.8486396611680186,11,up,AM
BIOCARTA_RELA_PATHWAY,0.09032684469762538,0.744794576599409,1.6626704285959817,15,up,0.3575072734038708,0.05289500236947365,1.7000518550861794,15,up,AM
BIOCARTA_NO1_PATHWAY,0.736123935569919,0.4419758116950811,1.0599384982292752,23,up,0.6322812642511413,0.2483151284648782,0.6859121711762806,23,up,AM
BIOCARTA_CSK_PATHWAY,0.5904369714194829,-0.4414311406102871,-1.1798550241786778,19,down,0.8508145718871019,0.733399142823753,-0.6298838251296102,19,up,AM
BIOCARTA_SRCRPTP_PATHWAY,0.8440435933836314,0.47105445352104364,0.9843001478422956,11,up,0.7462699525364503,0.4806402318858951,0.04920773068040605,11,up,AM
BIOCARTA_AMI_PATHWAY,0.7868340617784938,-0.42548962652503675,-1.0158961099474864,13,down,0.8510937529234738,0.7366637457100893,-0.6430224180025633,13,up,AM
