Sample,Pathway,SIZE,NES,FDR q-val
CoTB_Mtb,ADIPOGENESIS,221,-1.0998652,0.30647314
scBCG_Mtb,ADIPOGENESIS,221,-1.0622535,0.514507
Unvax_Mtb,ADIPOGENESIS,221,-1.00956,0.6200999
CoTB_Mtb,ALLOGRAFT_REJECTION,203,2.3519268,1.00E-06
scBCG_Mtb,ALLOGRAFT_REJECTION,203,2.4606273,1.00E-06
Unvax_Mtb,ALLOGRAFT_REJECTION,203,0.9107637,0.80316764
CoTB_Mtb,ANDROGEN_RESPONSE,117,1.0613235,0.3973547
scBCG_Mtb,ANDROGEN_RESPONSE,117,-1.4197215,0.09562469
Unvax_Mtb,ANDROGEN_RESPONSE,117,0.9119373,0.8543134
CoTB_Mtb,ANGIOGENESIS,34,1.648987,0.0059512
scBCG_Mtb,ANGIOGENESIS,34,1.646375,0.004778478
Unvax_Mtb,ANGIOGENESIS,34,1.0233213,0.5462052
CoTB_Mtb,APICAL_JUNCTION,169,1.1057813,0.33108425
scBCG_Mtb,APICAL_JUNCTION,169,0.90448225,0.80302745
Unvax_Mtb,APICAL_JUNCTION,169,1.0460057,0.49923286
CoTB_Mtb,APICAL_SURFACE,31,-0.9148461,0.69092494
scBCG_Mtb,APICAL_SURFACE,31,0.71189874,0.99889636
Unvax_Mtb,APICAL_SURFACE,31,-1.1671355,0.3063728
CoTB_Mtb,APOPTOSIS,164,1.7509879,0.001683504
scBCG_Mtb,APOPTOSIS,164,1.6077875,0.00574192
Unvax_Mtb,APOPTOSIS,164,1.0483521,0.5116358
CoTB_Mtb,BILE_ACID_METABOLISM,74,-1.2103457,0.2553272
scBCG_Mtb,BILE_ACID_METABOLISM,74,-1.0717677,0.56184864
Unvax_Mtb,BILE_ACID_METABOLISM,74,-1.3008395,0.20727773
CoTB_Mtb,CHOLESTEROL_HOMEOSTASIS,79,-1.1895372,0.22877748
scBCG_Mtb,CHOLESTEROL_HOMEOSTASIS,79,-2.1722503,1.00E-06
Unvax_Mtb,CHOLESTEROL_HOMEOSTASIS,79,-0.93490356,0.6830839
CoTB_Mtb,COAGULATION,93,1.5751811,0.010132974
scBCG_Mtb,COAGULATION,93,1.0429851,0.485995
Unvax_Mtb,COAGULATION,93,0.744044,0.96026415
CoTB_Mtb,COMPLEMENT,195,2.0522974,1.00E-06
scBCG_Mtb,COMPLEMENT,195,1.8549501,2.25E-04
Unvax_Mtb,COMPLEMENT,195,1.3670979,0.07245272
CoTB_Mtb,DNA_REPAIR,158,-0.9845879,0.56017405
scBCG_Mtb,DNA_REPAIR,158,-0.9396794,0.9408122
Unvax_Mtb,DNA_REPAIR,158,1.2462918,0.18676758
CoTB_Mtb,E2F_TARGETS,215,0.8440703,0.8567491
scBCG_Mtb,E2F_TARGETS,215,-0.87752795,0.79135305
Unvax_Mtb,E2F_TARGETS,215,1.0799435,0.43835953
CoTB_Mtb,EPITHELIAL_MESENCHYMAL_TRANSITION,124,1.9100811,1.46E-04
scBCG_Mtb,EPITHELIAL_MESENCHYMAL_TRANSITION,124,1.940183,1.00E-06
Unvax_Mtb,EPITHELIAL_MESENCHYMAL_TRANSITION,124,1.237998,0.18837768
CoTB_Mtb,ESTROGEN_RESPONSE_EARLY,168,1.102769,0.32765305
scBCG_Mtb,ESTROGEN_RESPONSE_EARLY,168,1.1266165,0.34533367
Unvax_Mtb,ESTROGEN_RESPONSE_EARLY,168,-0.9514693,0.6887859
CoTB_Mtb,ESTROGEN_RESPONSE_LATE,162,0.9613246,0.5896204
scBCG_Mtb,ESTROGEN_RESPONSE_LATE,162,1.0865722,0.39572614
Unvax_Mtb,ESTROGEN_RESPONSE_LATE,162,0.8293601,0.9632008
CoTB_Mtb,FATTY_ACID_METABOLISM,147,-1.3847975,0.17430125
scBCG_Mtb,FATTY_ACID_METABOLISM,147,-1.3333497,0.1348939
Unvax_Mtb,FATTY_ACID_METABOLISM,147,-1.2514597,0.23881966
CoTB_Mtb,G2M_CHECKPOINT,236,1.1640114,0.2462284
scBCG_Mtb,G2M_CHECKPOINT,236,-0.9089921,0.85704637
Unvax_Mtb,G2M_CHECKPOINT,236,1.2347754,0.17463376
CoTB_Mtb,GLYCOLYSIS,196,0.96577865,0.5939303
scBCG_Mtb,GLYCOLYSIS,196,1.2879839,0.12286002
Unvax_Mtb,GLYCOLYSIS,196,0.9116047,0.8270076
CoTB_Mtb,HEDGEHOG_SIGNALING,29,1.1285596,0.29514143
scBCG_Mtb,HEDGEHOG_SIGNALING,29,1.0094416,0.5397949
Unvax_Mtb,HEDGEHOG_SIGNALING,29,-1.3209002,0.25523892
CoTB_Mtb,HEME_METABOLISM,214,0.807762,0.9032445
scBCG_Mtb,HEME_METABOLISM,214,1.1266932,0.35963672
Unvax_Mtb,HEME_METABOLISM,214,1.237639,0.17919125
CoTB_Mtb,HYPOXIA,186,1.47649,0.023971988
scBCG_Mtb,HYPOXIA,186,1.6351854,0.005329458
Unvax_Mtb,HYPOXIA,186,1.1480236,0.29219157
CoTB_Mtb,IL2_STAT5_SIGNALING,210,2.2171848,1.00E-06
scBCG_Mtb,IL2_STAT5_SIGNALING,210,2.2143278,1.00E-06
Unvax_Mtb,IL2_STAT5_SIGNALING,210,0.7625471,1
CoTB_Mtb,IL6_JAK_STAT3_SIGNALING,87,2.4320776,1.00E-06
scBCG_Mtb,IL6_JAK_STAT3_SIGNALING,87,2.5271015,1.00E-06
Unvax_Mtb,IL6_JAK_STAT3_SIGNALING,87,1.7091483,0.007581633
CoTB_Mtb,INFLAMMATORY_RESPONSE,188,2.435228,1.00E-06
scBCG_Mtb,INFLAMMATORY_RESPONSE,188,2.390287,1.00E-06
Unvax_Mtb,INFLAMMATORY_RESPONSE,188,1.5404245,0.029000722
CoTB_Mtb,INTERFERON_ALPHA_RESPONSE,123,2.92811,1.00E-06
scBCG_Mtb,INTERFERON_ALPHA_RESPONSE,123,3.0489848,1.00E-06
Unvax_Mtb,INTERFERON_ALPHA_RESPONSE,123,0.7916053,0.9974928
CoTB_Mtb,INTERFERON_GAMMA_RESPONSE,230,3.1616492,1.00E-06
scBCG_Mtb,INTERFERON_GAMMA_RESPONSE,230,3.158719,1.00E-06
Unvax_Mtb,INTERFERON_GAMMA_RESPONSE,230,1.3860523,0.0647238
CoTB_Mtb,KRAS_SIGNALING_DN,107,1.4046962,0.04175856
scBCG_Mtb,KRAS_SIGNALING_DN,107,1.3997923,0.04873433
