"","file","shortName","group","exp","genotype","mouse","treatment","treatTime","stimulus","stimTime","seq_num"
"1","GO-Jan20-03","gso32.STING.N.N.4.3","gso32.STING.N.N.4","gso32","STING",3,"N",0,"N",4,"GO02"
"2","GO-Jan20-04","gso32.STING.IFNb.N.4.3","gso32.STING.IFNb.N.4","gso32","STING",3,"IFNb",4,"N",4,"GO02"
"3","GO-Jan20-05","gso32.STING.N.Rv.4.3","gso32.STING.N.Rv.4","gso32","STING",3,"N",0,"Rv",4,"GO02"
"4","GO-Jan20-06","gso32.STING.IFNb.Rv.4.3","gso32.STING.IFNb.Rv.4","gso32","STING",3,"IFNb",4,"Rv",4,"GO02"
"5","GO-Jan20-07","gso32.STING.N.HK.4.3","gso32.STING.N.HK.4","gso32","STING",3,"N",0,"HK",4,"GO02"
"6","GO-Jan20-08","gso32.STING.IFNb.HK.4.3","gso32.STING.IFNb.HK.4","gso32","STING",3,"IFNb",4,"HK",4,"GO02"
"7","GO-Jan20-09","gso32.STING.N.N.4.4","gso32.STING.N.N.4","gso32","STING",4,"N",0,"N",4,"GO02"
"8","GO-Jan20-10","gso32.STING.IFNb.N.4.4","gso32.STING.IFNb.N.4","gso32","STING",4,"IFNb",4,"N",4,"GO02"
"9","GO-Jan20-11","gso32.STING.N.Rv.4.4","gso32.STING.N.Rv.4","gso32","STING",4,"N",0,"Rv",4,"GO02"
"10","GO-Jan20-12","gso32.STING.IFNb.Rv.4.4","gso32.STING.IFNb.Rv.4","gso32","STING",4,"IFNb",4,"Rv",4,"GO02"
"11","GO-Jan20-13","gso32.STING.N.HK.4.4","gso32.STING.N.HK.4","gso32","STING",4,"N",0,"HK",4,"GO02"
"12","GO-Jan20-14","gso32.STING.IFNb.HK.4.4","gso32.STING.IFNb.HK.4","gso32","STING",4,"IFNb",4,"HK",4,"GO02"
"13","GO-Jan20-15","gso32.STING.N.N.24.3","gso32.STING.N.N.24","gso32","STING",3,"N",0,"N",24,"GO02"
"14","GO-Jan20-16","gso32.STING.IFNb.N.24.3","gso32.STING.IFNb.N.24","gso32","STING",3,"IFNb",4,"N",24,"GO02"
"15","GO-Jan20-17","gso32.STING.N.Rv.24.3","gso32.STING.N.Rv.24","gso32","STING",3,"N",0,"Rv",24,"GO02"
"16","GO-Jan20-18","gso32.STING.IFNb.Rv.24.3","gso32.STING.IFNb.Rv.24","gso32","STING",3,"IFNb",4,"Rv",24,"GO02"
"17","GO-Jan20-19","gso32.STING.N.HK.24.3","gso32.STING.N.HK.24","gso32","STING",3,"N",0,"HK",24,"GO02"
"18","GO-Jan20-20","gso32.STING.IFNb.HK.24.3","gso32.STING.IFNb.HK.24","gso32","STING",3,"IFNb",4,"HK",24,"GO02"
